Experiment Data —  Calculus & Linear Algebra,,,,,,,,,,
"SCORING: PC (0–3): 0=no attempt, 1=partial, 2=mostly correct, 3=fully correct. RQ (0–3): 0=no reasoning, 1=weak, 2=adequate, 3=clear & correct step-by-step. ERROR CODE: E1=Conceptual, E2=Method, E3=Calculation, E4=Reasoning, E5=Incomplete, E6=Hallucination, N/A=correct answer.",,,,,,,,,,
Model Name,"Topic
(Calc/Prob/LA)","Difficulty
(E/M/H)","Response
Time (s)","Final Answer
Correct?
(Y/N)","Programming
Correctness
(0–3)","Reasoning
Quality
(0–3)","Hallucination
(0/1)","Error Code
(E1–E6 or N/A)",Notes / Edge Cases,
,LA,H,17.36s,Y,3,3,0,N/A,N/A,
,LA,H,23.30s,Y,3,2,0,N/A,N/A,
,LA,H,19.92s,Y,2,2,0,N/A,N/A,
,LA,H,23.84s,Y,3,2,0,N/A,N/A,
,LA,H,32.04s,Y,3,2,0,N/A,N/A,
,LA,H,17.07s,Y,2,2,0,N/A,N/A,
,LA,H,18.94s,Y,2,2,0,N/A,N/A,
,,,,,,,,,,
Mistral,C,E,168s,Y,3,2,0,N//A,N/A,
,C,E,209s,N,1,2,0,E3,incorrect factorization ,
,C,E,175s,N,0,1,0,E2,invalid method,
,C,E,118s,N,1,2,0,E3,incorrect simplification,
,C,E,275s,Y,3,3,0,N/A,N/A,
,C,E,198s,Y,3,3,0,N/A,N/A,
,C,E,392s,N,1,2,0,E3,arithmetic mistake,
,C,E,166s,Y,3,3,0,N/A,N/A,
,C,E,300s,N,0,0,0,E2,applied method incorrectly ,
,C,E,96s,N,2,3,0,E3,wrong evaluation,
,C,M,112s,N,0,1,0,E2,wrong method used,
,C,M,169s,N,1,1,0,E2,incorrect procedures,
,C,M,194s,Y,3,3,0,N/A,N/A,
,C,M,230s,N,1,1,0,E2,wrong function,
,C,M,332s,N,1,1,0,E2,differentiates incorrectly,
,C,M,158s,N,1,1,0,E2,incorrect substitution,
,C,M,233s,N,1,1,0,E2,used method incorrectly,
,C,M,238s,N,1,1,0,E2,wrong procedure used,
,C,M,120s,Y,3,2,0,N/A,N/A,
,C,M,195s,Y,3,2,0,N/A,N/A,
,C,H,154s,N,0,0,0,E1,incorrect concept,
,C,H,183s,N,1,1,0,E2,incorrect geometric setup,
,C,H,207s,N,1,1,0,E2,applied incorrect method,
,C,H,113s,N,1,1,0,E2,incorrect concept,
,C,H,222s,N,1,1,0,E3,calculation mistakes,
,C,H,170s,N,0,0,0,E2,incorrect soultion method,
,C,H,279s,N,0,0,0,E1,wrong concept used,
,LA,M,397s,N,0,0,0,E1,conceptualmisunderstanding,
,LA,M,305s,N,0,0,0,E3,wrong computation,
,LA,M,893s,N,0,0,0,E2,wrong method throughout,
,LA,M,151s,N,1,1,0,E5,important step omitted,
,LA,M,122s,N,2,1,0,E2,wrong method used for proof,
,LA,H,234s,N,1,0,0,E2,incorrect matrix ,
,LA,H,528s,N,0,0,0,E1,use wrong concept,
,LA,H,594s,N,1,1,1,E3,"calculation mistakes, invalid arguments",
,LA,H,484s,N,0,0,0,E3,incorrect determinant calculation,
,LA,H,83s,N,1,1,0,E5,singularity incomplete,
,LA,H,549s,N,0,0,0,E3,calc error,
,LA,H,210s,N,1,3,0,E5,invalid eigenvalues reasoning,
,LA,H,218s,N,1,0,0,E5,invalid proof,
,,,,,,,,,,
,,,,,,,,,,
Qwen,C,E,99s,Y,3,3,0,N/A,N/A,
,C,E,227s,Y,3,3,0,N/A,N/A,
,C,E,102s,Y,3,3,0,N/A,N/A,
,C,E,133s,Y,3,3,0,N/A,N/A,
,C,E,291s,Y,3,3,0,N/A,N/A,
,C,E,227s,Y,3,3,0,N/A,N/A,
,C,E,242s,Y,3,2,0,N/A,N/A,
,C,E,262s,Y,3,3,0,N/A,N/A,
,C,E,303s,Y,3,3,0,N/A,N/A,
,C,E,475s,Y,3,2,0,N/A,N/A,
,C,M,193s,Y,3,2,0,N/A,N/A,
,C,M,321s,Y,3,2,0,N/A,N/A,
,C,M,664s,Y,3,3,0,N/A,N/A,
,C,M,430s,Y,3,3,0,N/A,N/A,
,C,M,645s,Y,3,3,0,N/A,N/A,
,C,M,364s,Y,3,2,0,N/A,N/A,
,C,M,173s,Y,3,3,0,N/A,N/A,
,C,M,230s,N,1,1,0,E2,wrong method used,
,C,M,224s,Y,3,2,0,N/A,N/A,
,C,M,156s,Y,3,2,0,N/A,N/A,
,C,H,361s,Y,3,3,0,N/A,N/A,
,C,H,415s,Y,3,2,0,N/A,N/A,
,C,H,184s,Y,3,2,0,N/A,N/A,
,C,H,569s,Y,3,3,0,N/A,N/A,
,C,H,401s,Y,3,3,0,N/A,N/A,
,C,H,100s,Y,3,2,0,N/A,N/A,
,C,H,244s,Y,3,3,0,N/A,N/A,
,LA,M,139s,N,1,1,0,E2,wrong matrix used,
,LA,M,729s,N,1,1,0,E3,calc error,
,LA,M,263s,N,1,2,0,E3,incorect matrix formation,
,LA,M,611s,Y,2,1,0,N/A,N/A,
,LA,M,726s,Y,3,3,0,N/A,N/A,
,LA,H,354s,N,1,1,0,E4,fails to use required reasoning,
,LA,H,286s,N,1,2,0,E1,misunderstanding of concept,
,LA,H,824s,N,1,2,0,E3,u3,
,LA,H,402s,N,1,2,0,E3,multiplication error,
,LA,H,320s,N,1,1,0,E5,incomplete,
,LA,H,429s,N,2,2,0,E5,incomplete,
,LA,H,284s,Y,3,3,0,N/A,N/A,
,LA,H,248s,Y,3,3,0,N/A,N/A,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Llama,C,E,122s,Y,3,3,0,N/A,N/A,
,C,E,76s,N,2,2,0,E3,calculation error,
,C,E,64s,N,2,1,0,E3,calculation error,
,C,E,43s,Y,3,3,0,N/A,N/A,
,C,E,59s,Y,3,2,0,N/A,N/A,
,C,E,72s,Y,3,3,0,N/A,N/A,
,C,E,32s,Y,3,3,0,N/A,N/A,
,C,E,41s,Y,3,2,0,N/A,N/A,
,C,E,62s,N,2,2,0,E3,calculation error,
,C,E,35s,Y,3,2,0,N/A,N/A,
,C,M,90s,N,2,1,0,E3,calculation error,
,C,M,85s,N,2,2,0,E3,calculation error,
,C,M,68s,Y,3,2,0,N/A,N/A,
,C,M,117s,Y,3,3,0,N/A,N/A,
,C,M,199s,N,2,2,0,E3,calculation error,
,C,M,56s,N,2,2,0,E3,calculation error,
,C,M,74s,Y,3,3,0,N/A,N/A,
,C,M,128s,Y,3,2,0,N/A,N/A,
,C,M,124s,Y,3,3,0,N/A,N/A,
,C,M,49s,Y,3,3,0,N/A,N/A,
,C,H,109s,N,2,1,0,E2,method error,
,C,H,108s,N,2,1,0,E3,calculation error,
,C,H,105s,N,1,1,0,E3,calculation error,
,C,H,77s,Y,3,2,0,N/A,N/A,
,C,H,189s,Y,3,3,0,N/A,N/A,
,C,H,119s,Y,3,3,0,N/A,N/A,
,C,H,90s,Y,3,3,0,N/A,N/A,
,LA,M,109s,N,2,1,0,E4,reasoning error,
,LA,M,98s,N,1,1,0,E3,calculation error,
,LA,M,158s,N,1,2,0,E3,calculation error,
,LA,M,88s,Y,3,3,0,N/A,N/A,
,LA,M,149s,Y,3,3,0,N/A,N/A,
,LA,H,260s,Y,3,2,0,N/A,N/A,
,LA,H,184s,Y,3,2,0,N/A,N/A,
,LA,H,276s,Y,3,2,0,N/A,N/A,
,LA,H,188s,Y,3,3,0,N/A,N/A,
,LA,H,202s,Y,3,3,0,N/A,N/A,
,LA,H,157s,Y,3,2,0,N/A,N/A,
,LA,H,86s,Y,3,3,0,N/A,N/A,
,LA,H,78s,Y,3,3,0,N/A,N/A,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SUMMARY STATISTICS ,,,,,,,,,,
Model,Accuracy (%),Avg PC (/3),PC (%),Avg RQ (/3),RQ (%),Hall Rate (%),Reliability (%),High Quality RQ (%),Avg RT (s),Complete solutions%
ChatGPT,100%,2.9,96.66%,2.575,85.83%,0.00%,100.00%,57.50%,14.31475s,90%
Claude,100.00%,2.9,96.66%,2.775,92.50%,0.00%,100.00%,77.50%,13.32325s,92.50%
Qwen 2.5 7B,75.00%,2.5,83.33,2.325,77.50%,0%,100%,47.50%,337.35s,72.50%
Llama 3.1 8B,67.50%,2.6,86.66%,2.25,75.00%,0.00%,100%,42.50%,107.975s,67.50%
Mistral 7B,18%,1.1,36.66%,1.15,38.33%,2.50%,98%,15.00%,253.425s,15%
